	bhsid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
761	Brahy.S02G0379500	0.0005189656666666	0.002525865	0.3389571163333333	Brast02G353900			
762	Brahy.S02G0381500	0.010328892	0.0067712215	1.5209716765	Brast02G355900			
763	Brahy.S02G0383100	0.000882516	0.002366525	0.372916543				
764	Brahy.S02G0386400	0.005519461	0.004404878	1.25303379	Brast02G360600			
765	Brahy.S02G0387100	0.0060065645	0.0127521245	0.476904308	Brast02G361300			
766	Brahy.S02G0393600	0.000100585	0.000291421	0.345152927	Brast02G367300			
767	Brahy.S02G0398900	0.000632695	0.001912765	0.33077513	Brast02G372600			
768	Brahy.S02G0400100	0.000474215	0.001322314	0.358624778	Brast02G374700			
769	Brahy.S02G0400900	0.0018404565	0.001884158	0.9877811835	Brast02G374300			
770	Brahy.S02G0403300	0.003565159	0.008747471	0.407564589	Brast02G376200			
771	Brahy.S02G0407100	0.0007938925	0.0015394345	0.409706892	Brast02G379800			
772	Brahy.S02G0413800	0.005736373	0.005987468	0.958063169	Brast02G386200			
773	Brahy.S02G0417900	0.000832654	0.000430056	1.936150381	Brast02G389800			
774	Brahy.S02G0418400	0.000151753	0.000430781	0.352273762	Brast02G390200			
775	Brahy.S02G0420300	0.00110742	0.001052816	1.051864808	Brast02G392200			
776	Brahy.S02G0421000	0.000233434	0.000377032	0.619135989	Brast02G392900			
777	Brahy.S02G0424200	0.002650924	0.005827213	0.454921384	Brast02G393700			
778	Brahy.S03G0005600	0.0026514473333333	0.0071618243333333	0.376628585	Brast03G004100			
779	Brahy.S03G0012000	0.000952094	0.001063518	0.895231258	Brast03G010700			
780	Brahy.S03G0015900	0.000225569	0.0007970096666666	0.2830630736666666	Brast03G014600			
781	Brahy.S03G0017200	0.00116599	0.001810374	0.644060616				
782	Brahy.S03G0017900	0.0006662183333333	0.0069715113333333	0.1054343956666666	Brast03G016000			
783	Brahy.S03G0028000	0.002905808	0.002448511	1.186765435				
784	Brahy.S03G0029200	0.003549408	0.004251732	0.834814648	Brast03G026500	0.00147449	0.000345373	4.269267187
785	Brahy.S03G0032000	0.000118401	0.000916946	0.129125546				
786	Brahy.S03G0037400	0.000631718	0.000884261	0.714402228	Brast03G034200			
787	Brahy.S03G0038300	0.000420721	0.006367664	0.066071534	Brast03G034900			
788	Brahy.S03G0047200	0.002269271	0.003995886	0.567901779				
789	Brahy.S03G0049100	0.000430606	0.0009009235	0.4575465115	Brast03G045500			
790	Brahy.S03G0053500	0.001659374	0.004467999	0.371390764	Brast03G049400			
791	Brahy.S03G0067000	0.0025901473333333	0.0015081836666666	3.2024657013333333	Brast03G061200			
792	Brahy.S03G0071200	0.000641065	0.005290191	0.121179923	Brast03G065500			
793	Brahy.S03G0074600	0.000602818	0.0007718396666666	0.7703149536666666	Brast03G068300			
794	Brahy.S03G0091900	0.0005340306666666	0.000738196	1.2724885136666668	Brast03G083000			
795	Brahy.S03G0106700	0.003703785	0.007005288	0.528712765	Brast03G096800			
796	Brahy.S03G0107800	0.000141254	0.000470393	0.300290538	Brast03G097800			
797	Brahy.S03G0108000	0.002363001	0.001453087	1.626193706	Brast03G098000	0.003572699	0.002787712	1.281588233
798	Brahy.S03G0118300	0.006973908	0.006717734	1.038133967	Brast03G106900			
799	Brahy.S03G0122100	0.000969981	0.001542897	0.628674708	Brast03G110700	0.002685261	0.0013956005	1.652876064
800	Brahy.S03G0122200	0.000668208	0.001791464	0.372995532	Brast03G110800			
801	Brahy.S03G0124100	8.47e-05	0.000135684	0.623981635	Brast03G117100			
802	Brahy.S03G0144400	0.001131528	0.003590168	0.315174064	Brast03G128300			
803	Brahy.S03G0146500	0.001648021	0.008177307	0.201535929	Brast03G130400			
804	Brahy.S03G0156800	0.00670541	0.005397515	1.242314251	Brast03G139100			
805	Brahy.S03G0158800	0.00140194175	0.00247439125	0.5897520789999999	Brast03G141100	0.0007236565	0.000687566	1.2587830565
806	Brahy.S03G0166000	0.001359916	0.002613659	0.52031115	Brast03G147600			
807	Brahy.S03G0170900	0.002145576	0.002989723	0.717650536	Brast03G152500			
808	Brahy.S03G0171500	0.000350584	0.000902372	0.388513693				
809	Brahy.S03G0178900	0.000161476	0.000654143	0.246851041	Brast03G160100			
810	Brahy.S03G0180200	0.000918289	0.001795064	0.511563643	Brast03G161400	0.000711248	0.001153904	0.616384702
