bhsid	bsid
Brahy.S01G0053500	Brast01G049500
Brahy.S01G0053600	Brast01G049600
Brahy.S01G0053700	Brast01G049700
Brahy.S01G0053800	Brast01G049800
Brahy.S01G0053900	Brast01G049900
Brahy.S01G0054100	Brast01G050000
Brahy.S01G0054300	Brast01G050100
Brahy.S01G0054600	Brast01G050300
Brahy.S01G0054700	Brast01G050400
Brahy.S01G0054800	Brast01G050500
Brahy.S01G0054900	Brast01G050600
Brahy.S01G0055000	Brast01G050700
Brahy.S01G0055100	Brast01G050900
Brahy.S01G0055200	Brast01G051000
Brahy.S01G0055300	Brast01G051100
Brahy.S01G0055400	Brast01G051200
Brahy.S01G0055500	Brast01G051300
Brahy.S01G0055600	Brast01G051400
Brahy.S01G0055700	Brast01G051500
Brahy.S01G0055800	Brast01G051600
Brahy.S01G0055900	Brast01G051700
Brahy.S01G0056000	Brast01G051800
Brahy.S01G0056100	Brast01G051900
Brahy.S01G0056200	Brast01G052000
Brahy.S01G0056300	Brast01G052100
Brahy.S01G0056400	Brast01G052200
Brahy.S01G0056500	Brast01G052300
Brahy.S01G0056600	Brast01G052400
Brahy.S01G0056700	Brast01G052500
Brahy.S01G0056800	Brast01G052600
Brahy.S01G0056900	Brast01G052700
Brahy.S01G0057000	Brast01G052800
Brahy.S01G0057100	Brast01G052900
Brahy.S01G0057200	Brast01G053000
Brahy.S01G0057400	Brast01G053100
Brahy.S01G0057500	Brast01G053200
Brahy.S01G0057600	Brast01G053300
Brahy.S01G0057700	Brast01G053400
Brahy.S01G0057800	Brast01G053500
Brahy.S01G0057900	Brast01G053600
Brahy.S01G0058000	Brast01G053700
Brahy.S01G0058100	Brast01G053800
Brahy.S01G0058200	Brast01G053900
Brahy.S01G0058400	Brast01G054000
Brahy.S01G0058500	Brast01G054100
Brahy.S01G0058600	Brast01G054200
Brahy.S01G0058700	Brast01G054300
Brahy.S01G0058800	Brast01G054400
Brahy.S01G0058900	Brast01G054500
Brahy.S01G0059000	Brast01G054600
Brahy.S01G0059100	Brast01G054700
Brahy.S01G0059200	Brast01G054800
Brahy.S01G0059300	Brast01G054900
Brahy.S01G0059400	Brast01G055000
Brahy.S01G0059500	Brast01G055100
Brahy.S01G0059600	Brast01G055200
Brahy.S01G0059700	Brast01G055300
Brahy.S01G0059800	Brast01G055400
Brahy.S01G0059900	Brast01G055500
Brahy.S01G0060000	Brast01G055600
Brahy.S01G0060100	Brast01G055700
Brahy.S01G0060200	Brast01G055800
Brahy.S01G0060300	Brast01G055900
Brahy.S01G0060400	Brast01G056000
Brahy.S01G0060500	Brast01G056100
Brahy.S01G0060700	Brast01G056200
Brahy.S01G0060800	Brast01G056300
Brahy.S01G0060900	Brast01G056400
Brahy.S01G0061000	Brast01G056500
Brahy.S01G0061100	Brast01G056600
Brahy.S01G0061200	Brast01G056700
Brahy.S01G0061300	Brast01G056800
Brahy.S01G0061400	Brast01G056900
Brahy.S01G0061600	Brast01G057000
Brahy.S01G0061700	Brast01G057200
Brahy.S01G0061800	Brast01G057300
Brahy.S01G0061900	Brast01G057400
Brahy.S01G0062000	Brast01G057500
Brahy.S01G0062200	Brast01G057600
Brahy.S01G0062300	Brast01G057700
Brahy.S01G0062400	Brast01G057800
Brahy.S01G0062500	Brast01G057900
Brahy.S01G0062600	Brast01G058000
Brahy.S01G0062700	Brast01G058100
Brahy.S01G0062800	Brast01G058200
Brahy.S01G0062900	Brast01G058300
Brahy.S01G0063000	Brast01G058700
Brahy.S01G0063100	Brast01G058800
Brahy.S01G0063200	Brast01G058900
Brahy.S01G0063300	Brast01G059000
Brahy.S01G0063400	Brast01G059100
Brahy.S01G0063500	Brast01G059200
Brahy.S01G0063900	Brast01G059400
Brahy.S01G0064000	Brast01G059500
Brahy.S01G0064100	Brast01G059600
Brahy.S01G0064200	Brast01G059700
Brahy.S01G0064300	Brast01G059800
Brahy.S01G0064400	Brast01G059900
Brahy.S01G0064500	Brast01G060100
Brahy.S01G0064600	Brast01G060200
Brahy.S01G0064800	Brast01G060300
Brahy.S01G0064900	Brast01G060400
Brahy.S01G0065000	Brast01G060500
Brahy.S01G0065100	Brast01G060600
Brahy.S01G0065200	Brast01G060700
Brahy.S01G0065300	Brast01G060800
Brahy.S01G0065500	Brast01G060900
Brahy.S01G0065600	Brast01G061000
Brahy.S01G0065700	Brast01G061100
Brahy.S01G0065900	Brast01G061200
Brahy.S01G0066000	Brast01G061300
Brahy.S01G0066100	Brast01G061400
Brahy.S01G0066200	Brast01G061500
Brahy.S01G0066300	Brast01G061600
Brahy.S01G0066400	Brast01G061700
Brahy.S01G0066500	Brast01G061800
Brahy.S01G0066600	Brast01G061900
Brahy.S01G0066700	Brast01G062000
Brahy.S01G0066800	Brast01G062100
Brahy.S01G0067000	Brast01G062200
Brahy.S01G0067100	Brast01G062300
Brahy.S01G0067200	Brast01G062400
Brahy.S01G0067300	Brast01G062500
Brahy.S01G0067400	Brast01G062600
Brahy.S01G0067500	Brast01G062700
Brahy.S01G0067600	Brast01G062800
Brahy.S01G0067700	Brast01G062900
Brahy.S01G0067900	Brast01G063000
Brahy.S01G0068000	Brast01G063100
Brahy.S01G0068100	Brast01G063200
Brahy.S01G0068200	Brast01G063300
Brahy.S01G0068300	Brast01G063400
Brahy.S01G0068400	Brast01G063500
Brahy.S01G0068600	Brast01G063600
Brahy.S01G0068700	Brast01G063700
Brahy.S01G0068800	Brast01G063800
Brahy.S01G0068900	Brast01G063900
Brahy.S01G0069000	Brast01G064000
Brahy.S01G0069100	Brast01G064100
Brahy.S01G0069200	Brast01G064200
Brahy.S01G0069300	Brast01G064300
Brahy.S01G0069400	Brast01G064400
Brahy.S01G0069500	Brast01G064500
Brahy.S01G0069600	Brast01G064600
Brahy.S01G0069700	Brast01G064700
Brahy.S01G0069800	Brast01G064800
Brahy.S01G0069900	Brast01G064900
Brahy.S01G0070000	Brast01G065000
Brahy.S01G0070100	Brast01G065100
Brahy.S01G0070200	Brast01G065200
Brahy.S01G0070300	Brast01G065300
Brahy.S01G0070400	Brast01G065400
Brahy.S01G0070500	Brast01G065500
Brahy.S01G0070700	Brast01G065600
Brahy.S01G0070800	Brast01G065700
Brahy.S01G0070900	Brast01G065900
Brahy.S01G0071000	Brast01G066000
Brahy.S01G0071100	Brast01G066100
Brahy.S01G0071200	Brast01G066200
Brahy.S01G0071300	Brast01G066300
Brahy.S01G0071400	Brast01G066400
Brahy.S01G0071500	Brast01G066500
Brahy.S01G0071600	Brast01G066600
Brahy.S01G0071700	Brast01G066700
Brahy.S01G0071800	Brast01G066800
Brahy.S01G0071900	Brast01G066900
Brahy.S01G0072000	Brast01G067000
Brahy.S01G0072100	Brast01G067100
Brahy.S01G0072300	Brast01G067300
Brahy.S01G0072400	Brast01G067400
Brahy.S01G0072500	Brast01G067500
Brahy.S01G0072600	Brast01G067600
Brahy.S01G0072700	Brast01G067700
Brahy.S01G0072800	Brast01G067800
Brahy.S01G0072900	Brast01G067900
Brahy.S01G0073000	Brast01G068000
Brahy.S01G0073100	Brast01G068100
Brahy.S01G0073200	Brast01G068200
Brahy.S01G0073300	Brast01G068300
Brahy.S01G0073400	Brast01G068400
Brahy.S01G0073500	Brast01G068500
Brahy.S01G0073700	Brast01G068600
Brahy.S01G0073800	Brast01G068700
Brahy.S01G0073900	Brast01G068800
Brahy.S01G0074000	Brast01G068900
Brahy.S01G0074100	Brast01G069000
Brahy.S01G0074200	Brast01G069100
Brahy.S01G0074300	Brast01G069200
Brahy.S01G0074400	Brast01G069300
Brahy.S01G0074500	Brast01G069400
Brahy.S01G0074600	Brast01G069500
Brahy.S01G0074700	Brast01G069600
Brahy.S01G0074800	Brast01G069800
Brahy.S01G0074900	Brast01G069900
Brahy.S01G0075000	Brast01G070000
