nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC5BG033680	NA	turquoise
TRIDC3BG049160	NA	turquoise
TRIDC6BG044820	NA	blue
TRIDC1BG058060	NA	turquoise
TRIDC3BG041510	NA	turquoise
TRIDC1AG033800	NA	turquoise
TRIDC3AG002880	NA	turquoise
TRIDC7AG054780	NA	red
TRIDC4AG054780	NA	turquoise
TRIDC1AG022720	NA	turquoise
TRIDC6BG014600	NA	turquoise
TRIDC5BG038580	NA	turquoise
TRIDC6BG044510	NA	turquoise
TRIDC2BG040460	NA	turquoise
TRIDC1BG019270	NA	red
TRIDC1BG070040	NA	blue
TRIDC4AG018510	NA	turquoise
TRIDC7AG021090	NA	turquoise
TRIDC5AG038930	NA	turquoise
TRIDC6BG028880	NA	turquoise
TRIDC5BG065330	NA	turquoise
TRIDC3BG083940	NA	blue
TRIDC2AG033190	NA	brown
TRIDC7AG005390	NA	turquoise
TRIDC6BG048010	NA	turquoise
TRIDC7BG025890	NA	turquoise
TRIDC3AG027470	NA	blue
TRIDC7BG031290	NA	turquoise
TRIDC1BG029060	NA	turquoise
TRIDC2BG049580	NA	turquoise
TRIDC5BG046470	NA	turquoise
TRIDC4BG035770	NA	turquoise
TRIDC5AG030140	NA	turquoise
TRIDC2AG062930	NA	blue
TRIDC7BG039280	NA	blue
TRIDC4BG000450	NA	turquoise
TRIDC1AG033780	NA	turquoise
TRIDC7AG035610	NA	turquoise
TRIDC3BG018390	NA	turquoise
TRIDC4BG037500	NA	turquoise
TRIDC7AG042000	NA	turquoise
TRIDC6BG039300	NA	brown
TRIDC4BG059180	NA	blue
TRIDC5AG047160	NA	turquoise
TRIDC7AG043560	NA	turquoise
TRIDC1BG034740	NA	turquoise
TRIDC7BG035520	NA	turquoise
TRIDC1AG020120	NA	turquoise
TRIDC6AG034990	NA	turquoise
TRIDC4AG000220	NA	turquoise
TRIDC7AG046450	NA	blue
TRIDC3BG034720	NA	turquoise
TRIDC6BG071190	NA	turquoise
TRIDC2BG033700	NA	blue
TRIDC7BG040730	NA	brown
TRIDC2BG029530	NA	turquoise
TRIDC6AG005590	NA	turquoise
TRIDC1BG005670	NA	turquoise
TRIDC4BG006830	NA	turquoise
TRIDC3BG070890	NA	green
TRIDC2AG037450	NA	turquoise
TRIDC1AG061910	NA	turquoise
TRIDC5AG036410	NA	turquoise
TRIDC5BG016420	NA	blue
TRIDC2BG004870	NA	turquoise
TRIDC5BG036650	NA	blue
TRIDC5BG078020	NA	blue
TRIDC3AG047810	NA	blue
TRIDC3BG032690	NA	turquoise
TRIDC1BG035430	NA	turquoise
TRIDC1BG061990	NA	blue
TRIDC6BG030790	NA	turquoise
TRIDC1AG055800	NA	turquoise
TRIDC3AG069140	NA	blue
TRIDC5BG072210	NA	turquoise
TRIDC5BG076140	NA	turquoise
TRIDC4BG015770	NA	turquoise
TRIDC4BG025190	NA	turquoise
TRIDC7AG063070	NA	turquoise
TRIDC2BG035440	NA	turquoise
