nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC4AG008450	NA	turquoise
TRIDC7BG009920	NA	turquoise
TRIDC1AG018650	NA	blue
TRIDC3AG074100	NA	brown
TRIDC6BG061790	NA	turquoise
TRIDC6BG001010	NA	blue
TRIDC4BG048390	NA	turquoise
TRIDC1BG047720	NA	turquoise
TRIDC6BG068050	NA	turquoise
TRIDC2AG043060	NA	turquoise
TRIDC1BG061990	NA	turquoise
TRIDC4AG002410	NA	blue
TRIDC2BG028860	NA	turquoise
TRIDC1BG012360	NA	blue
TRIDC5AG064550	NA	blue
TRIDC3AG056680	NA	blue
TRIDC3AG031960	NA	blue
TRIDC2AG062930	NA	turquoise
TRIDC6AG039580	NA	blue
TRIDC3AG062180	NA	blue
TRIDC2BG033480	NA	blue
TRIDC2BG005840	NA	turquoise
TRIDC7BG028670	NA	blue
TRIDC1BG059650	NA	blue
TRIDC3AG008900	NA	blue
TRIDC4AG030330	NA	turquoise
TRIDC7BG011060	NA	turquoise
TRIDC5AG048930	NA	brown
TRIDC2BG021990	NA	blue
TRIDC5BG078020	NA	turquoise
TRIDC6AG011530	NA	blue
TRIDC2BG004560	NA	turquoise
TRIDC7BG023930	NA	turquoise
TRIDC6BG059180	NA	turquoise
TRIDC7AG043560	NA	blue
TRIDC7BG031290	NA	blue
TRIDC2BG036090	NA	blue
TRIDC3BG024050	NA	turquoise
TRIDC6BG050410	NA	blue
TRIDC5AG015500	NA	brown
TRIDC2BG047600	NA	blue
TRIDC5AG041710	NA	turquoise
TRIDC3BG039440	NA	turquoise
TRIDC5BG060420	NA	blue
TRIDC1BG045750	NA	blue
TRIDC4AG040280	NA	blue
TRIDC4AG018360	NA	blue
TRIDC1BG071020	NA	turquoise
TRIDC1BG068450	NA	turquoise
TRIDC2AG021760	NA	brown
TRIDC4AG066140	NA	blue
TRIDC1BG050250	NA	turquoise
TRIDC3BG047280	NA	turquoise
TRIDC4BG000450	NA	blue
TRIDC7AG042000	NA	blue
TRIDC6BG004400	NA	turquoise
TRIDC1AG018980	NA	blue
TRIDC4BG045030	NA	blue
TRIDC3BG083960	NA	blue
TRIDC5BG006100	NA	turquoise
TRIDC5AG044960	NA	red
TRIDC1AG035350	NA	blue
TRIDC6BG048010	NA	blue
TRIDC2AG059260	NA	yellow
TRIDC7AG031320	NA	blue
TRIDC1AG036470	NA	turquoise
TRIDC6AG042010	NA	blue
TRIDC5AG006940	NA	turquoise
TRIDC7BG041440	NA	blue
TRIDC6BG033370	NA	blue
TRIDC3BG018390	NA	blue
TRIDC1AG052160	NA	blue
TRIDC1AG027550	NA	blue
TRIDC2AG009390	NA	turquoise
TRIDC3BG069850	NA	turquoise
TRIDC1BG060660	NA	turquoise
TRIDC7BG029990	NA	turquoise
TRIDC1AG055650	NA	turquoise
TRIDC2AG014100	NA	blue
TRIDC1AG020030	NA	turquoise
TRIDC7BG013780	NA	blue
